time in s,power in W
0,229.3127345508098
900,229.3127345508098
1800,290.8857605001318
2700,229.3127345508098
3600,229.3127345508098
4500,229.3127345508098
5400,377.98489391811313
6300,611.4097715629889
7200,326.5276652794
8100,326.5276652794
9000,497.5100376509608
9900,510.86456868061043
10800,401.1645862463635
11700,396.6151471668425
12600,416.77940762972474
13500,510.86456868061043
14400,510.86456868061043
15300,290.8857605001318
16200,229.3127345508098
17100,245.3753107329091
18000,513.3025222557667
18900,377.48042383414287
19800,533.8304269368989
20700,1198.6236780523864
21600,1556.017028807509
22500,1381.0653188611686
23400,2042.6557481063296
24300,475.6673204164445
25200,551.9779778912099
26100,1255.297461601378
27000,824.8401921585602
27900,820.913541138232
28800,1076.512189796717
29700,963.881620533987
30600,1011.6335209551744
31500,3000.6080145197793
32400,1207.7155643300948
33300,1281.9025105082978
34200,1418.3989536080235
35100,433.37581525607555
36000,426.3443513593241
36900,1057.692595996121
37800,945.7403941527441
38700,589.4612359492924
39600,632.6006256640337
40500,808.7937381802242
41400,2978.167519531781
42300,901.1289750691955
43200,1075.6673273578685
44100,285.5644457248215
45000,355.651927612264
45900,662.7738040785616
46800,660.8103704637189
47700,648.9890833396972
48600,1994.3307310521593
49500,902.4536643216454
50400,1091.000129802066
51300,487.9192781068135
52200,2234.504149115698
53100,2363.549723273043
54000,1186.221778245972
54900,1116.4899354549138
55800,2414.4441553823876
56700,2496.8524935669443
57600,2263.944795132319
58500,2163.0737630991316
59400,2942.4143357712455
60300,4573.396954288349
61200,3666.94125803241
62100,1378.2842641418015
63000,1780.5354679653212
63900,1677.4921672962973
64800,1211.4572694219958
65700,1345.7528557421879
66600,2553.7655100447705
67500,2625.3805012406065
68400,4306.885189195124
69300,5356.50377766931
70200,2819.321817772422
71100,9835.470966367782
72000,3556.886612472933
72900,2446.613770409638
73800,2945.5027893308647
74700,2937.8520764843306
75600,3726.2573706344215
76500,2864.6911587030672
77400,2728.2425386503573
78300,4931.676216283164
79200,3531.8504363407424
80100,3674.500225022036
81000,3261.6226774895977
81900,2664.2261916507905
82800,1685.4812773748704
83700,3152.3296985114002
84600,1410.78342501862
85500,1378.9255369053972
86400,229.3127345508098
87300,287.0619157163016
88200,310.32058409042287
89100,678.9562082157579
90000,399.5365497933794
90900,229.3127345508098
91800,377.25005529033416
92700,229.3127345508098
93600,466.61816870050984
94500,622.2145206467661
95400,385.8365120007809
96300,556.1343723760156
97200,570.044275139114
98100,399.5365497933794
99000,238.5373547919692
99900,342.40963716325786
100800,327.1599053315743
101700,576.2737796866157
102600,377.25005529033416
103500,229.3127345508098
104400,229.3127345508098
105300,399.5365497933794
106200,547.4738705329037
107100,287.0619157163016
108000,445.1119922921702
108900,420.00549184183245
109800,707.0260951036682
110700,2193.717750150413
111600,733.828108104702
112500,808.0277263918173
113400,1159.5518025437127
114300,1214.1251623007988
115200,3104.148334706432
116100,1524.099421213908
117000,902.0707634133805
117900,962.1811364244188
118800,744.3446621356072
119700,599.5454066537687
120600,2163.8872558837124
121500,3336.6368060535847
122400,926.1578670836514
123300,1929.150589065627
124200,1535.188386301179
125100,1738.3106850754375
126000,1673.398573547514
126900,2587.6857690591714
127800,938.7664370392135
128700,617.3264024202508
129600,462.72183418228946
130500,721.3904470906518
131400,389.3778568115056
132300,457.1676802501306
133200,3268.468901598952
134100,455.4143564128634
135000,970.8788621404949
135900,1740.7073692687616
136800,1721.3479474758842
137700,841.4043114615515
138600,824.2770026389557
139500,599.4119555185224
140400,1042.4166868107907
141300,1795.9509767864065
142200,1887.3621705394946
143100,1941.2751204971335
144000,1862.4029600879135
144900,893.4661400682861
145800,1906.7553686550193
146700,4125.716205923619
147600,3038.687798852123
148500,1010.0427044745052
149400,1819.3525221038049
150300,2474.702378927612
151200,1689.353022362311
152100,1615.317887653298
153000,1655.5840398936405
153900,2855.435254727499
154800,2437.13407804653
155700,4507.431225083104
156600,4677.675331558666
157500,1630.1456658796071
158400,2406.236199838875
159300,4140.420402861781
160200,3241.5113883974873
161100,2201.523206032811
162000,1447.138939778379
162900,1610.353249820563
163800,2507.446081186567
164700,2409.0415752388544
165600,3527.6713470224877
166500,4933.890482786079
167400,3634.5439404141293
168300,2514.9955565965884
169200,2250.206156803706
170100,1905.3495992820606
171000,1703.427181050645
171900,2759.6446323348428
172800,229.3127345508098
173700,229.3127345508098
174600,229.3127345508098
175500,345.3093978458214
176400,636.5698619346898
177300,229.3127345508098
178200,493.14306762212334
179100,310.86350838904093
180000,345.3093978458214
180900,360.5763699403099
181800,301.95324729342957
182700,229.3127345508098
183600,345.3093978458214
184500,426.86017168405255
185400,229.3127345508098
186300,301.95324729342957
187200,360.5763699403099
188100,345.3093978458214
189000,229.3127345508098
189900,229.3127345508098
190800,229.3127345508098
191700,718.1206357729211
192600,453.6928192469047
193500,229.3127345508098
194400,229.3127345508098
195300,543.1839965742972
196200,345.3093978458214
197100,322.0660082880642
198000,378.59047954644774
198900,677.1525474746627
199800,578.8303672036078
200700,599.0140159740051
201600,318.8882735806598
202500,572.8660471999787
203400,2069.1647841280255
204300,915.4580760213883
205200,721.7797518186338
206100,570.5968905722433
207000,2422.171129872693
207900,1457.2320448150574
208800,929.8076999856091
209700,822.771853562139
210600,711.5816860346767
211500,890.0302151784332
212400,930.1490523906532
213300,762.9979308544519
214200,699.0758037969966
215100,507.8855004524432
216000,1167.9994931569977
216900,1307.2438418898766
217800,1609.3438085819237
218700,1618.3049548946406
219600,1925.2180300528046
220500,3135.075534467692
221400,1714.904049156787
222300,759.3261686497865
223200,836.9479599433487
224100,321.58498108068056
225000,626.9046301981233
225900,510.9079669031116
226800,2142.716332038047
227700,3788.3451146258603
228600,1713.7236833261968
229500,1726.8717034074161
230400,854.5563059616554
231300,946.9534002433998
232200,2792.466396624456
233100,1165.0547962788523
234000,1362.8419409904739
234900,3634.2722784141242
235800,1153.1122246715981
236700,1305.2120954710167
237600,4282.838553123737
238500,4952.641264040968
239400,3623.049793944242
240300,1211.7291837735681
241200,4100.437858672074
242100,3384.6419254008883
243000,3372.5755042565124
243900,2216.2008061493975
244800,3616.0592072225986
245700,4564.076168784128
246600,3980.6688622584293
247500,2100.799267556394
248400,3213.618257737676
249300,5893.105870035629
250200,3731.8236414533058
251100,3677.1948508244477
252000,2206.372981325498
252900,2902.1908964579056
253800,1775.8416320580632
254700,1826.0811693358269
255600,2098.8470647435865
256500,1126.8761905246447
257400,2285.2943863336745
258300,2200.2579407820144
259200,229.3127345508098
260100,1206.2231962586118
261000,1608.5608379594992
261900,1087.4280292732326
262800,316.37189745778807
263700,399.9687107357454
264600,399.9687107357454
265500,514.6403068558037
266400,609.1814479508679
267300,699.3220420991712
268200,1179.6461586148457
269100,1032.1202921321333
270000,1305.43051377132
270900,1305.43051377132
271800,353.70849133129934
272700,511.4670374859602
273600,326.7730083490452
274500,235.4668220646289
275400,458.1784860573806
276300,468.79268118171944
277200,2766.8632097699115
278100,468.90934348471853
279000,229.3127345508098
279900,578.4715178286574
280800,722.0322368514813
281700,434.070777299393
282600,301.8311918367324
283500,301.8311918367324
284400,860.192065094198
285300,636.290487675696
286200,2142.0766277024095
287100,3898.8730038255
288000,973.9425712436862
288900,1780.5701872886061
289800,1576.484512763819
290700,1676.413745704631
291600,1837.2136322728413
292500,1060.6758387780712
293400,908.7730502279196
294300,956.3476965923206
295200,1385.8694502301769
296100,1947.822999152102
297000,1701.7294753673536
297900,1497.608252127175
298800,635.6506280658799
299700,413.08074086903787
300600,824.2346657406969
301500,602.1669592399071
302400,602.2233198584486
303300,2813.519237826153
304200,1181.5716591151852
305100,737.7464930540559
306000,969.3668068191813
306900,2365.294445229311
307800,2336.6589161935317
308700,1082.8801142383586
309600,2683.7777969833455
310500,2992.3957651274072
311400,1839.4267651891219
312300,2867.2639708397173
313200,1464.8645713104981
314100,1644.9025280388787
315000,1324.007009094297
315900,680.7181918863661
316800,2282.181821267052
317700,2289.5116153007666
318600,2227.049209139043
319500,2466.70233377748
320400,2088.068686144144
321300,2065.7872306538584
322200,856.2193958864717
323100,2336.253632708371
324000,2704.548361190261
324900,4143.0363011273585
325800,4744.931122648741
326700,1845.7418926427351
327600,3216.500431127268
328500,5007.290164552753
329400,4345.810103417114
330300,4894.389083949393
331200,1180.8235015466985
332100,875.5048494126777
333000,1761.1829381597888
333900,1251.1670622042107
334800,1212.5440541132298
335700,1502.3202265948407
336600,1159.717503220252
337500,6143.483393767708
338400,2297.3347555697414
339300,3868.7286898154803
340200,4651.97656488242
341100,1363.6157175219557
342000,2148.992273744001
342900,2121.080329040813
343800,1957.9117662324643
344700,1764.7591807408508
345600,229.3127345508098
346500,259.186067614872
347400,278.1220137684155
348300,443.67641414920985
349200,229.3127345508098
350100,229.3127345508098
351000,396.2488266106571
351900,555.9387985045503
352800,369.6615101588017
353700,229.3127345508098
354600,229.3127345508098
355500,229.3127345508098
356400,369.6615101588017
357300,329.1041575317364
