time in s,power in W
0,220.51356793046216
900,339.9356072669079
1800,362.8922451880292
2700,302.5253353396683
3600,348.21857883276215
4500,547.3073602386437
5400,327.4897557696965
6300,601.275215151597
7200,375.2342095422038
8100,348.21857883276215
9000,441.22550970881366
9900,386.523188069406
10800,327.4897557696965
11700,487.97952926692136
12600,460.9638985574797
13500,421.9256774877387
14400,362.8922451880292
15300,500.6236825311502
16200,327.4897557696965
17100,373.879034805177
18000,220.51356793046216
18900,348.21857883276215
19800,534.2015341943734
20700,2026.1852459640909
21600,2004.1866104358583
22500,793.2279343334848
23400,604.6848644760516
24300,722.8281132545858
25200,679.4167518300868
26100,1877.3689809599964
27000,3222.360440701289
27900,3809.0104133283903
28800,2546.9574464296584
29700,1158.5026844626657
30600,1166.6272088073754
31500,1098.3333445270187
32400,1930.0052237898733
33300,2161.9558240241154
34200,2366.6114614073126
35100,2322.104550581836
36000,646.844293753284
36900,2024.159447729863
37800,780.7277530635976
38700,832.3736909185661
39600,1134.73189821744
40500,734.6462159106553
41400,651.5310864196758
42300,836.5019884285065
43200,637.8754705867595
44100,749.1414752926506
45000,449.73428078801584
45900,710.1276291733739
46800,549.5276823469038
47700,543.333812606159
48600,579.6299210349183
49500,444.28798379302515
50400,569.3752678719172
51300,373.1305778148297
52200,386.523188069406
53100,384.66845672676953
54000,512.5490801137521
54900,469.90910200022677
55800,393.6037683449268
56700,367.77502359336705
57600,649.7565974069156
58500,2228.194637471211
59400,988.9127486996606
60300,553.7216026175721
61200,1651.2084295708003
62100,3381.5035555303966
63000,787.644679521522
63900,1582.1281084354555
64800,3046.806777252257
65700,1005.5666413457581
66600,980.1565120093379
67500,2251.2014082696373
68400,2784.345161151483
69300,5398.524638468467
70200,3762.3428123495282
71100,3216.088257395878
72000,955.8505730136928
72900,1333.2215358461874
73800,1316.9307683311627
74700,1865.7846771798277
75600,2093.2555188090014
76500,3612.57642459411
77400,5276.387225903676
78300,3478.5273654275197
79200,2082.2071749915463
80100,2116.1478108343567
81000,2181.754628162381
81900,969.5119678022959
82800,904.9417524743526
83700,1063.139120080049
84600,1384.751078941438
85500,1379.1312004521812
86400,220.51356793046216
87300,261.72898692051007
88200,425.8565314223801
89100,457.8750453738002
90000,252.40721108771868
90900,445.48057583134135
91800,386.6467703405839
92700,220.51356793046216
93600,390.6906772038447
94500,597.987136198113
95400,530.8130392827101
96300,323.21296222548534
97200,565.221874331985
98100,220.51356793046216
99000,220.51356793046216
99900,506.90872603818815
100800,220.51356793046216
101700,332.6542623045959
102600,386.1117185626852
103500,464.73240764767985
104400,611.6059227978178
105300,613.8142815062316
106200,270.7590421112832
107100,453.7518816320279
108000,1676.9814695581388
108900,933.5591923800454
109800,725.9102944224935
110700,2945.7813490223493
111600,3910.1058872427
112500,887.1568834025366
113400,1293.6870675339062
114300,2601.045393468089
115200,4143.515262841305
116100,2983.0234052685296
117000,932.6284332795021
117900,1219.7038988310746
118800,1099.4054958962477
119700,2184.5468017447256
120600,982.9285823395692
121500,806.1637751520144
122400,1137.1121914974808
123300,1124.3925309755473
124200,2772.871505219682
125100,2524.2876468437958
126000,2203.928228641618
126900,1967.3412915563847
127800,2340.197925204293
128700,2270.4025404041254
129600,1062.1695253566975
130500,607.3559318454527
131400,490.67370080846746
132300,730.3546543355895
133200,1611.1509883670158
134100,1809.954622812844
135000,961.767555488957
135900,1023.4508751235802
136800,1079.6771212544834
137700,708.1520226996896
138600,554.1127540203784
139500,522.2191108631218
140400,796.480251170468
141300,1469.9842692918432
142200,3142.0926242357637
143100,4209.519839448779
144000,1593.3717747999349
144900,2712.340862355787
145800,2869.2467950331697
146700,4915.539941790575
147600,4602.707571549305
148500,3627.5473116469225
149400,2309.406983521147
150300,2688.692994881415
151200,2599.2429562285515
152100,2620.45334935894
153000,2727.755676163455
153900,3007.584315166907
154800,3683.5690923480693
155700,5174.1329370959
156600,4180.693056568237
157500,2621.579972301254
