time in s,power in W
0,199.03203002655638
900,199.03203002655638
1800,199.03203002655638
2700,199.03203002655638
3600,199.03203002655638
4500,442.24201167344734
5400,619.8078824172019
6300,640.568121186497
7200,352.7800775477476
8100,199.03203002655638
9000,442.24201167344734
9900,371.86510999428276
10800,361.8805366418112
11700,207.7351580612846
12600,212.03988237761428
13500,376.1698343106124
14400,361.8805366418112
15300,361.8805366418112
16200,323.9715670500508
17100,264.02703150460843
18000,2329.0442717416377
18900,3230.253591198722
19800,525.8170745521369
20700,488.71267074972167
21600,238.02903091338763
22500,458.6824753710848
23400,238.02903091338763
24300,238.02903091338763
25200,441.88564829492014
26100,607.7566271279134
27000,489.7351968575026
27900,347.1900557588406
28800,298.4346315575787
29700,430.2999061815988
30600,1488.8928485421884
31500,1905.6110477706015
32400,1515.578802257783
33300,1650.6733285438777
34200,843.2608844785095
35100,826.0815919173604
36000,3070.189257766128
36900,1091.0595252204807
37800,1265.890014684335
38700,1039.6487184754828
39600,1068.3810024545708
40500,2968.1871535122846
41400,5040.707538973453
42300,4649.6657653767315
43200,4987.421339582324
44100,5399.4730460449
45000,3894.896941722133
45900,2928.840767665537
46800,1346.5889442077605
47700,2912.9188121243974
48600,612.383609295272
49500,2560.633995437209
50400,3750.84418486015
51300,1489.304304169221
52200,1722.1664482628444
53100,1455.584391074915
54000,550.5771345951725
54900,1345.372742687632
55800,1671.8090653857676
56700,965.8715992571747
57600,4322.282978543897
58500,2709.022828995654
59400,915.6792521645937
60300,1798.168572174932
61200,1231.9748391939843
62100,1601.9867173315401
63000,2132.6389795702826
63900,2061.3200876480496
64800,2341.575353862703
65700,5605.423204745569
66600,1344.1143677835657
67500,2552.2772639593304
68400,2081.78463330111
69300,1546.2656205283117
70200,3088.324209069576
71100,3151.0738679713986
72000,6495.758368295391
72900,1895.5630984859001
73800,1019.866291626771
74700,2809.2924585657047
75600,4241.721924222978
76500,2031.9707541423181
77400,2179.9359128915016
78300,3175.047679110092
79200,2447.591916620759
80100,3678.0070422992558
81000,3625.4033781740686
81900,2671.4681570263624
82800,3033.2683856931862
83700,2343.471565010131
84600,1804.1377174694326
85500,839.2345989256639
86400,199.03203002655638
87300,230.363290951578
88200,199.03203002655638
89100,199.03203002655638
90000,199.03203002655638
90900,199.03203002655638
91800,566.4851119435284
92700,199.03203002655638
93600,199.03203002655638
94500,427.29240559137986
95400,568.2443002264198
96300,482.660174285568
97200,703.7516707776142
98100,655.1297031903551
99000,470.2691136817181
99900,833.9841091397556
100800,545.4635490857777
101700,604.4818202869602
102600,634.8705500289972
103500,425.9345454337657
104400,572.2961308586914
105300,199.03203002655638
106200,199.03203002655638
107100,269.714512818837
108000,615.9493918260752
108900,566.4851119435284
109800,351.8931155992873
110700,205.5315301743616
111600,308.71151370566827
112500,1129.3188486827464
113400,420.5595719550623
114300,470.69017986353765
115200,1775.2311870868962
116100,331.7918307963257
117000,644.9806878320985
117900,652.2275597049791
118800,2831.0906954620673
119700,692.1159200633844
120600,692.5294109512672
121500,2673.18594521598
122400,2662.443923123868
123300,962.0573023216607
124200,910.271016925244
125100,766.6571362040021
126000,1780.870367238138
126900,740.6484602028262
127800,805.9517183549309
128700,742.6594187238239
129600,542.6637717790491
130500,488.81782383792495
131400,1467.5929090533689
132300,1592.8114491950817
133200,2273.5406808408425
134100,537.4408903638131
135000,461.4075667507402
135900,1491.119704954919
136800,831.5289332476881
137700,1863.3358999393351
138600,1841.3964627104533
139500,973.8012011997727
140400,548.5309997403365
141300,693.9433935997378
142200,810.3162080186867
143100,821.9066547968337
144000,727.1222758130124
144900,2843.119682337319
145800,4269.79249078664
146700,3600.678334793059
147600,4844.0595469501195
148500,4918.630183725985
149400,2899.6961483479154
150300,3950.8199027110786
151200,1171.4707347707997
152100,4327.334585430829
153000,3768.169267673324
153900,4581.934131208436
154800,4634.493038949046
155700,1969.3855630763069
156600,2975.0127212125303
157500,3169.8738954408136
158400,4755.972147418786
159300,3604.3954586028235
160200,2540.4587625660565
161100,3815.115899236289
162000,3907.0062010255633
162900,4206.582642038147
163800,2201.6981856103675
164700,3174.3314457146307
165600,2151.551361174835
166500,949.0727827780238
167400,904.6077928608056
168300,2790.4676505000457
169200,2089.8613531023475
170100,2998.5010258187845
171000,4888.712561740436
171900,2017.3677203555335
172800,199.03203002655638
