time in s,power in W
0,466.07369648935935
900,466.07369648935935
1800,466.07369648935935
2700,589.1767949035564
3600,624.6822554563448
4500,701.5878565076811
5400,466.07369648935935
6300,771.8969978393808
7200,589.1767949035564
8100,466.07369648935935
9000,542.9792975406955
9900,711.211753948401
10800,807.402458392169
11700,1104.973107514212
12600,823.2614501330295
13500,528.4915510125767
14400,466.07369648935935
15300,781.1161208317886
16200,466.07369648935935
17100,823.2614501330295
18000,824.6909549218782
18900,666.0823959548926
19800,553.182310378089
20700,553.182310378089
21600,567.4614333681996
22500,743.757520213663
23400,805.0068124313633
24300,3407.0237099768638
25200,3861.2377318808494
26100,2634.4528104961364
27000,5432.6733345745815
27900,7969.287574794053
28800,2762.052303002668
29700,5000.975602609032
30600,1868.9759983572887
31500,3286.970763169114
32400,3207.0507929377172
33300,3689.9341111995755
34200,3243.4719931023237
35100,5357.872935344021
36000,2971.032123862942
36900,6466.936722684046
37800,1548.0835594204234
38700,1620.5141198432293
39600,1811.2974613290896
40500,1610.577881062826
41400,3704.389055183189
42300,3482.8387045434465
43200,1225.0098222885786
44100,1483.1258044103429
45000,1472.8707788694765
45900,1640.3451644681581
46800,2326.5195925674784
47700,2262.1494329527013
48600,3087.7118999778745
49500,1579.5957297753914
50400,1640.7879838610759
51300,3297.6880724264174
52200,6773.466197343588
53100,1347.7473153892822
54000,1248.247065912513
54900,2957.0640721359223
55800,1402.2074706461149
56700,2245.4008869247846
57600,1818.152290262083
58500,3861.628947593585
59400,2427.31869916775
60300,4719.445533015474
61200,3240.1243096124576
62100,1622.5380863051043
63000,2733.779063530235
63900,4141.735322246442
64800,3985.4009415865344
65700,3027.6123894793827
66600,2796.2440497602
67500,2386.556912678076
68400,4502.973156069002
69300,8381.002531565195
70200,8432.764243852936
71100,9044.537582063305
72000,7081.599368915908
72900,2252.0115004448517
73800,4857.621895278028
74700,4724.575139143745
75600,13278.059828777696
76500,7727.297387704609
77400,5148.630678727104
78300,7606.277412799108
79200,3717.821858728759
80100,4402.873261182202
81000,2287.9132500660658
81900,1542.7522800156162
82800,1915.8985825782852
83700,3718.0437628686955
84600,1612.7105252236247
85500,1352.9593139603078
86400,537.7860800214119
87300,466.07369648935935
88200,466.07369648935935
89100,466.07369648935935
90000,689.9308572502634
90900,712.8597397002746
91800,814.8825315048738
92700,721.4436721790915
93600,626.4443638406287
94500,466.07369648935935
95400,734.526368089795
