wind_speed;power
0;0
1;0
2;5
3;10
4;17
5;25
6;34
7;50
8;63
9;81
10;100
11;100
12;100
13;100
14;100
15;100
16;100
17;100
18;100
19;100
20;100
21;0
22;0
23;0
24;0
25;0
26;0
50;0
